"UTCDateTime","Temperature"
2017-06-18 13:49:59,28.6363
2017-06-18 13:54:59,28.597
2017-06-18 13:59:59,28.5894
2017-06-18 14:04:59,28.5735
2017-06-18 14:09:59,28.5796
2017-06-18 14:14:59,28.5737
2017-06-18 14:19:59,28.5599
2017-06-18 14:24:59,28.5649
2017-06-18 14:29:59,28.5777
2017-06-18 14:34:59,28.6022
2017-06-18 14:39:59,28.6173
2017-06-18 14:44:59,28.6294
2017-06-18 14:49:59,28.6424
2017-06-18 14:54:59,28.6582
2017-06-18 14:59:59,28.6755
2017-06-18 15:04:59,28.6836
2017-06-18 15:09:59,28.6875
2017-06-18 15:14:59,28.6907
2017-06-18 15:19:59,28.6931
2017-06-18 15:24:59,28.6836
2017-06-18 15:29:59,28.6875
2017-06-18 15:34:59,28.6884
2017-06-18 15:39:59,28.6859
2017-06-18 15:44:59,28.6812
2017-06-18 15:49:59,28.6826
2017-06-18 15:54:59,28.6788
2017-06-18 15:59:59,28.6735
2017-06-18 16:04:59,28.6722
2017-06-18 16:09:59,28.6595
2017-06-18 16:14:59,28.6795
2017-06-18 16:19:59,28.692
2017-06-18 16:24:59,28.7024
2017-06-18 16:29:59,28.7093
2017-06-18 16:34:59,28.7122
2017-06-18 16:39:59,28.7131
2017-06-18 16:44:59,28.7137
2017-06-18 16:49:59,28.7173
2017-06-18 16:54:59,28.7174
2017-06-18 16:59:59,28.718
2017-06-18 17:04:59,28.7214
2017-06-18 17:09:59,28.724
2017-06-18 17:14:59,28.725
2017-06-18 17:19:59,28.7225
2017-06-18 17:24:59,28.7141
2017-06-18 17:29:59,28.7201
2017-06-18 17:34:59,28.7242
2017-06-18 17:39:59,28.7262
2017-06-18 17:44:59,28.7281
2017-06-18 17:49:59,28.7285
2017-06-18 17:54:59,28.7296
2017-06-18 17:59:59,28.7302
2017-06-18 18:04:59,28.7298
2017-06-18 18:09:59,28.7287
2017-06-18 18:14:59,28.7273
2017-06-18 18:19:59,28.7248
2017-06-18 18:24:59,28.7235
2017-06-18 18:29:59,28.7216
2017-06-18 18:34:59,28.7207
2017-06-18 18:39:59,28.7229
2017-06-18 18:44:59,28.7251
2017-06-18 18:49:59,28.7276
