"UTCDateTime","Temperature"
2022-05-19 15:04:59,27.9856
2022-05-19 15:09:59,28.017
2022-05-19 15:14:59,28.0461
2022-05-19 15:19:59,28.0695
2022-05-19 15:24:59,28.08
2022-05-19 15:29:59,28.0966
2022-05-19 15:34:59,28.1117
2022-05-19 15:39:59,28.1237
2022-05-19 15:44:59,28.1405
2022-05-19 15:49:59,28.1575
2022-05-19 15:54:59,28.153
2022-05-19 15:59:59,28.1597
2022-05-19 16:04:59,28.1637
2022-05-19 16:09:59,28.1738
2022-05-19 16:14:59,28.1806
2022-05-19 16:19:59,28.1789
2022-05-19 16:24:59,28.1727
2022-05-19 16:29:59,28.1757
2022-05-19 16:34:59,28.1755
2022-05-19 16:39:59,28.1783
2022-05-19 16:44:59,28.1837
2022-05-19 16:49:59,28.1987
2022-05-19 16:54:59,28.2109
2022-05-19 16:59:59,28.222
2022-05-19 17:04:59,28.2234
2022-05-19 17:09:59,28.2283
2022-05-19 17:14:59,28.2353
2022-05-19 17:19:59,28.2547
2022-05-19 17:24:59,28.2661
2022-05-19 17:29:59,28.2762
2022-05-19 17:34:59,28.2919
2022-05-19 17:39:59,28.3162
2022-05-19 17:44:59,28.3272
2022-05-19 17:49:59,28.318
2022-05-19 17:54:59,28.317
2022-05-19 17:59:59,28.317
2022-05-19 18:04:59,28.3107
2022-05-19 18:09:59,28.3098
2022-05-19 18:14:59,28.3122
2022-05-19 18:19:59,28.3041
2022-05-19 18:24:59,28.2912
2022-05-19 18:29:59,28.2933
2022-05-19 18:34:59,28.2938
2022-05-19 18:39:59,28.2975
2022-05-19 18:44:59,28.2803
2022-05-19 18:49:59,28.2856
2022-05-19 18:54:59,28.2865
2022-05-19 18:59:59,28.2757
2022-05-19 19:04:59,28.2703
2022-05-19 19:09:59,28.2618
2022-05-19 19:14:59,28.2381
2022-05-19 19:19:59,28.2096
2022-05-19 19:24:59,28.2081
2022-05-19 19:29:59,28.2084
2022-05-19 19:34:59,28.2187
2022-05-19 19:39:59,28.1963
2022-05-19 19:44:59,28.1987
2022-05-19 19:49:59,28.19
2022-05-19 19:54:59,28.1813
2022-05-19 19:59:59,28.1807
2022-05-19 20:04:59,28.1757
2022-05-19 20:09:59,28.1762
2022-05-19 20:14:59,28.1753
2022-05-19 20:19:59,28.1723
2022-05-19 20:24:59,28.1631
2022-05-19 20:29:59,28.1573
2022-05-19 20:34:59,28.1487
2022-05-19 20:39:59,28.1434
2022-05-19 20:44:59,28.1381
2022-05-19 20:49:59,28.134
2022-05-19 20:54:59,28.1334
2022-05-19 20:59:59,28.1264
2022-05-19 21:04:59,28.1219
2022-05-19 21:09:59,28.1017
2022-05-19 21:14:59,28.0955
2022-05-19 21:19:59,28.0907
2022-05-19 21:24:59,28.0861
2022-05-19 21:29:59,28.0842
2022-05-19 21:34:59,28.0695
2022-05-19 21:39:59,28.0525
2022-05-19 21:44:59,28.0474
2022-05-19 21:49:59,28.0346
2022-05-19 21:54:59,28.0248
2022-05-19 21:59:59,28.0125
2022-05-19 22:04:59,28.0039
2022-05-19 22:09:59,27.9908
2022-05-19 22:14:59,27.9803
2022-05-19 22:19:59,27.9646
2022-05-19 22:24:59,27.9469
2022-05-19 22:29:59,27.9258
2022-05-19 22:34:59,27.9144
2022-05-19 22:39:59,27.9088
2022-05-19 22:44:59,27.9083
2022-05-19 22:49:59,27.9076
2022-05-19 22:54:59,27.9028
2022-05-19 22:59:59,27.9014
2022-05-19 23:04:59,27.902
2022-05-19 23:09:59,27.9013
2022-05-19 23:14:59,27.8958
2022-05-19 23:19:59,27.8921
2022-05-19 23:24:59,27.8842
2022-05-19 23:29:59,27.886
2022-05-19 23:34:59,27.8815
2022-05-19 23:39:59,27.8764
2022-05-19 23:44:59,27.8689
2022-05-19 23:49:59,27.8586
2022-05-19 23:54:59,27.8574
2022-05-19 23:59:59,27.8529
2022-05-20 00:04:59,27.8488
2022-05-20 00:09:59,27.8469
2022-05-20 00:14:59,27.8449
2022-05-20 00:19:59,27.8431
2022-05-20 00:24:59,27.8432
2022-05-20 00:29:59,27.8441
2022-05-20 00:34:59,27.8459
2022-05-20 00:39:59,27.8514
2022-05-20 00:44:59,27.8569
2022-05-20 00:49:59,27.8635
2022-05-20 00:54:59,27.8654
2022-05-20 00:59:59,27.8678
2022-05-20 01:04:59,27.8694
2022-05-20 01:09:59,27.8718
2022-05-20 01:14:59,27.8745
2022-05-20 01:19:59,27.876
2022-05-20 01:24:59,27.8771
2022-05-20 01:29:59,27.8805
2022-05-20 01:34:59,27.8796
2022-05-20 01:39:59,27.8835
2022-05-20 01:44:59,27.8876
2022-05-20 01:49:59,27.8887
2022-05-20 01:54:59,27.8905
2022-05-20 01:59:59,27.8886
2022-05-20 02:04:59,27.8863
2022-05-20 02:09:59,27.8824
2022-05-20 02:14:59,27.8777
2022-05-20 02:19:59,27.8786
2022-05-20 02:24:59,27.8781
2022-05-20 02:29:59,27.8769
2022-05-20 02:34:59,27.8732
2022-05-20 02:39:59,27.869
2022-05-20 02:44:59,27.8698
2022-05-20 02:49:59,27.8667
2022-05-20 02:54:59,27.8634
2022-05-20 02:59:59,27.8599
2022-05-20 03:04:59,27.8554
2022-05-20 03:09:59,27.8543
2022-05-20 03:14:59,27.8571
2022-05-20 03:19:59,27.8573
2022-05-20 03:24:59,27.8557
2022-05-20 03:29:59,27.8504
2022-05-20 03:34:59,27.8505
2022-05-20 03:39:59,27.8493
2022-05-20 03:44:59,27.845
2022-05-20 03:49:59,27.84
2022-05-20 03:54:59,27.8414
2022-05-20 03:59:59,27.8373
2022-05-20 04:04:59,27.8332
2022-05-20 04:09:59,27.8294
2022-05-20 04:14:59,27.829
2022-05-20 04:19:59,27.8278
2022-05-20 04:24:59,27.8262
2022-05-20 04:29:59,27.8279
2022-05-20 04:34:59,27.8304
2022-05-20 04:39:59,27.8285
2022-05-20 04:44:59,27.8277
2022-05-20 04:49:59,27.8258
2022-05-20 04:54:59,27.8237
2022-05-20 04:59:59,27.8221
2022-05-20 05:04:59,27.8219
2022-05-20 05:09:59,27.8211
2022-05-20 05:14:59,27.819
2022-05-20 05:19:59,27.8132
2022-05-20 05:24:59,27.8065
2022-05-20 05:29:59,27.8078
2022-05-20 05:34:59,27.8087
2022-05-20 05:39:59,27.8112
2022-05-20 05:44:59,27.8114
2022-05-20 05:49:59,27.8063
2022-05-20 05:54:59,27.8035
2022-05-20 05:59:59,27.8029
2022-05-20 06:04:59,27.7987
2022-05-20 06:09:59,27.7967
2022-05-20 06:14:59,27.7913
2022-05-20 06:19:59,27.7893
2022-05-20 06:24:59,27.7881
2022-05-20 06:29:59,27.784
2022-05-20 06:34:59,27.7836
2022-05-20 06:39:59,27.7817
2022-05-20 06:44:59,27.7817
2022-05-20 06:49:59,27.7836
2022-05-20 06:54:59,27.7816
2022-05-20 06:59:59,27.7811
2022-05-20 07:04:59,27.7798
2022-05-20 07:09:59,27.7765
2022-05-20 07:14:59,27.7756
2022-05-20 07:19:59,27.7751
2022-05-20 07:24:59,27.7761
2022-05-20 07:29:59,27.7743
2022-05-20 07:34:59,27.7701
2022-05-20 07:39:59,27.7709
2022-05-20 07:44:59,27.771
2022-05-20 07:49:59,27.767
2022-05-20 07:54:59,27.7636
2022-05-20 07:59:59,27.7631
2022-05-20 08:04:59,27.7651
2022-05-20 08:09:59,27.7641
2022-05-20 08:14:59,27.7618
2022-05-20 08:19:59,27.7611
2022-05-20 08:24:59,27.7605
2022-05-20 08:29:59,27.7582
2022-05-20 08:34:59,27.7518
2022-05-20 08:39:59,27.7512
2022-05-20 08:44:59,27.7522
2022-05-20 08:49:59,27.7533
2022-05-20 08:54:59,27.755
2022-05-20 08:59:59,27.7571
2022-05-20 09:04:59,27.7587
2022-05-20 09:09:59,27.7602
2022-05-20 09:14:59,27.7617
2022-05-20 09:19:59,27.7602
2022-05-20 09:24:59,27.7606
2022-05-20 09:29:59,27.7612
2022-05-20 09:34:59,27.76
2022-05-20 09:39:59,27.7583
2022-05-20 09:44:59,27.7597
2022-05-20 09:49:59,27.7597
2022-05-20 09:54:59,27.7587
2022-05-20 09:59:59,27.755
2022-05-20 10:04:59,27.751
2022-05-20 10:09:59,27.7538
2022-05-20 10:14:59,27.7553
2022-05-20 10:19:59,27.7557
2022-05-20 10:24:59,27.7576
2022-05-20 10:29:59,27.7574
2022-05-20 10:34:59,27.7582
2022-05-20 10:39:59,27.7577
2022-05-20 10:44:59,27.7615
2022-05-20 10:49:59,27.759
2022-05-20 10:54:59,27.7592
2022-05-20 10:59:59,27.7611
2022-05-20 11:04:59,27.7636
2022-05-20 11:09:59,27.7621
2022-05-20 11:14:59,27.7653
