"UTCDateTime","Temperature"
2021-09-02 15:04:59,30.2599
2021-09-02 15:09:59,30.2853
2021-09-02 15:14:59,30.2532
2021-09-02 15:19:59,30.2606
2021-09-02 15:24:59,30.2626
2021-09-02 15:29:59,30.2627
2021-09-02 15:34:59,30.286
2021-09-02 15:39:59,30.2723
2021-09-02 15:44:59,30.2837
2021-09-02 15:49:59,30.2831
2021-09-02 15:54:59,30.2898
2021-09-02 15:59:59,30.2931
2021-09-02 16:04:59,30.3003
2021-09-02 16:09:59,30.3183
2021-09-02 16:14:59,30.3197
2021-09-02 16:19:59,30.3309
2021-09-02 16:24:59,30.3519
2021-09-02 16:29:59,30.3454
2021-09-02 16:34:59,30.3765
2021-09-02 16:39:59,30.3936
2021-09-02 16:44:59,30.4124
2021-09-02 16:49:59,30.435
2021-09-02 16:54:59,30.4541
2021-09-02 16:59:59,30.4475
2021-09-02 17:04:59,30.4646
2021-09-02 17:09:59,30.4796
2021-09-02 17:14:59,30.4822
2021-09-02 17:19:59,30.4969
2021-09-02 17:24:59,30.5075
2021-09-02 17:29:59,30.5047
2021-09-02 17:34:59,30.503
2021-09-02 17:39:59,30.5191
2021-09-02 17:44:59,30.5224
2021-09-02 17:49:59,30.5183
2021-09-02 17:54:59,30.527
2021-09-02 17:59:59,30.5155
2021-09-02 18:04:59,30.5277
2021-09-02 18:09:59,30.5261
2021-09-02 18:14:59,30.5367
2021-09-02 18:19:59,30.5457
2021-09-02 18:24:59,30.5608
2021-09-02 18:29:59,30.5616
2021-09-02 18:34:59,30.5251
2021-09-02 18:39:59,30.5415
2021-09-02 18:44:59,30.5272
2021-09-02 18:49:59,30.5386
2021-09-02 18:54:59,30.5507
2021-09-02 18:59:59,30.556
2021-09-02 19:04:59,30.5537
2021-09-02 19:09:59,30.5537
2021-09-02 19:14:59,30.5658
2021-09-02 19:19:59,30.5535
2021-09-02 19:24:59,30.5444
2021-09-02 19:29:59,30.5471
2021-09-02 19:34:59,30.5561
2021-09-02 19:39:59,30.5437
2021-09-02 19:44:59,30.536
2021-09-02 19:49:59,30.5357
2021-09-02 19:54:59,30.5488
2021-09-02 19:59:59,30.544
2021-09-02 20:04:59,30.5344
2021-09-02 20:09:59,30.5241
2021-09-02 20:14:59,30.5263
2021-09-02 20:19:59,30.508
2021-09-02 20:24:59,30.5059
2021-09-02 20:29:59,30.5046
2021-09-02 20:34:59,30.5029
2021-09-02 20:39:59,30.4906
2021-09-02 20:44:59,30.4869
2021-09-02 20:49:59,30.4845
2021-09-02 20:54:59,30.4774
2021-09-02 20:59:59,30.4768
2021-09-02 21:04:59,30.47
2021-09-02 21:09:59,30.46
2021-09-02 21:14:59,30.4647
2021-09-02 21:19:59,30.4657
2021-09-02 21:24:59,30.4602
2021-09-02 21:29:59,30.4574
2021-09-02 21:34:59,30.4502
2021-09-02 21:39:59,30.4406
