FrameSync,DateTime (UTC+00:00),DateTime (AST),Sample Number (#),Error Flags (#),External pH (pH),Internal pH (pH),External pH (Volt),Internal pH (Volt),pH Temperature (Celsius),Relative Humidity (%),Int Temperature (Celsius)
SEAFET02114,5/20/23 0:00,5/19/23 20:00,1,8000,6.7792,6.8202,-0.899037,-0.946974,30.5978,56,30.8
SEAFET02114,5/20/23 0:15,5/19/23 20:15,2,0,6.7788,6.8205,-0.89901,-0.94694,30.6538,56,30.7
SEAFET02114,5/20/23 0:30,5/19/23 20:30,3,0,6.7786,6.82,-0.898996,-0.946959,30.6867,56.1,30.7
SEAFET02114,5/20/23 0:45,5/19/23 20:45,4,0,6.778,6.8196,-0.899021,-0.94698,30.6994,56.1,30.5
SEAFET02114,5/20/23 1:00,5/19/23 21:00,5,0,6.7776,6.8194,-0.899051,-0.946992,30.6948,56.2,30.5
SEAFET02114,5/20/23 1:15,5/19/23 21:15,6,0,6.7779,6.8204,-0.899049,-0.946939,30.6758,56.2,30.4
SEAFET02114,5/20/23 1:30,5/19/23 21:30,7,0,6.7788,6.8216,-0.899021,-0.946877,30.6437,56.2,30.3
SEAFET02114,5/20/23 1:45,5/19/23 21:45,8,0,6.7789,6.8214,-0.899048,-0.946902,30.6015,56.2,30.2
SEAFET02114,5/20/23 2:00,5/19/23 22:00,9,0,6.7798,6.8219,-0.899039,-0.94688,30.5517,56.2,30.2
SEAFET02114,5/20/23 2:15,5/19/23 22:15,10,0,6.7795,6.8214,-0.899103,-0.946927,30.4943,56.2,30.1
SEAFET02114,5/20/23 2:30,5/19/23 22:30,11,0,6.7801,6.8221,-0.899117,-0.946905,30.4304,56.2,30
SEAFET02114,5/20/23 2:45,5/19/23 22:45,12,0,6.7806,6.8224,-0.899142,-0.946904,30.3612,56.2,29.9
SEAFET02114,5/20/23 3:00,5/19/23 23:00,13,0,6.7811,6.8232,-0.899171,-0.946879,30.2872,56.1,29.8
SEAFET02114,5/20/23 3:15,5/19/23 23:15,14,0,6.7812,6.8234,-0.899227,-0.946887,30.2111,56.1,29.7
SEAFET02114,5/20/23 3:30,5/19/23 23:30,15,0,6.782,6.824,-0.899245,-0.94687,30.1315,56.2,29.6
SEAFET02114,5/20/23 3:45,5/19/23 23:45,16,0,6.7824,6.8245,-0.89929,-0.946863,30.0509,56.1,29.6
SEAFET02114,5/20/23 4:00,5/20/23 0:00,17,0,6.7828,6.8251,-0.899329,-0.94685,29.9691,56.1,29.5
SEAFET02114,5/20/23 4:15,5/20/23 0:15,18,0,6.7841,6.8258,-0.899321,-0.946834,29.8848,56.1,29.3
SEAFET02114,5/20/23 4:30,5/20/23 0:30,19,0,6.7846,6.8265,-0.899361,-0.946813,29.801,56.1,29.3
SEAFET02114,5/20/23 4:45,5/20/23 0:45,20,0,6.7855,6.8276,-0.899377,-0.946769,29.7147,56.1,29.2
SEAFET02114,5/20/23 5:00,5/20/23 1:00,21,0,6.7859,6.8279,-0.899423,-0.946775,29.6276,56.1,29.1
SEAFET02114,5/20/23 5:15,5/20/23 1:15,22,0,6.7872,6.8289,-0.899417,-0.946743,29.5387,56,29
SEAFET02114,5/20/23 5:30,5/20/23 1:30,23,0,6.7878,6.8295,-0.899457,-0.946732,29.4488,56,28.9
SEAFET02114,5/20/23 5:45,5/20/23 1:45,24,0,6.7891,6.8306,-0.899453,-0.946687,29.3583,56,28.8
SEAFET02114,5/20/23 6:00,5/20/23 2:00,25,0,6.7899,6.8315,-0.899478,-0.946658,29.2686,56,28.7
SEAFET02114,5/20/23 6:15,5/20/23 2:15,26,0,6.7911,6.8323,-0.899479,-0.946638,29.1785,55.9,28.7
SEAFET02114,5/20/23 6:30,5/20/23 2:30,27,0,6.7917,6.8329,-0.899515,-0.946625,29.0883,55.9,28.6
SEAFET02114,5/20/23 6:45,5/20/23 2:45,28,0,6.7931,6.8341,-0.899503,-0.94658,28.9973,55.9,28.5
SEAFET02114,5/20/23 7:00,5/20/23 3:00,29,0,6.794,6.8349,-0.899522,-0.946558,28.9071,55.9,28.4
SEAFET02114,5/20/23 7:15,5/20/23 3:15,30,0,6.7949,6.8353,-0.899547,-0.946556,28.8169,55.9,28.3
